from,to,Sm-144,Sm-147,Sm-148,Sm-149,Sm-150,Sm-152,Sm-154
129.0666667,132,1.9703E-02,4.8304E+00,2.2969E-01,3.9826E+02,2.4746E+00,1.9754E+01,2.7262E-01
132,134.9333333,1.9480E-02,4.7755E+00,2.2629E-01,3.9545E+02,2.4490E+00,1.9493E+01,2.6895E-01
134.9333333,137.8666667,1.9228E-02,4.7150E+00,2.2290E-01,3.9203E+02,2.4199E+00,1.9283E+01,2.6534E-01
137.8666667,140.8,1.8988E-02,4.6535E+00,2.1952E-01,3.8881E+02,2.3895E+00,1.9042E+01,2.6160E-01
140.8,143.7333333,1.8739E-02,4.5857E+00,2.1583E-01,3.8539E+02,2.3565E+00,1.8826E+01,2.5738E-01
143.7333333,146.6666667,1.8468E-02,4.5211E+00,2.1260E-01,3.8136E+02,2.3247E+00,1.8577E+01,2.5391E-01
146.6666667,149.6,1.8195E-02,4.4532E+00,2.0885E-01,3.7706E+02,2.2902E+00,1.8315E+01,2.4972E-01
149.6,152.5333333,1.7929E-02,4.3815E+00,2.0507E-01,3.7261E+02,2.2552E+00,1.7984E+01,2.4551E-01
152.5333333,155.4666667,1.7635E-02,4.3045E+00,2.0144E-01,3.6770E+02,2.2169E+00,1.7666E+01,2.4127E-01
155.4666667,158.4,1.7360E-02,4.2328E+00,1.9775E-01,3.6326E+02,2.1809E+00,1.7424E+01,2.3710E-01
158.4,161.3333333,1.7070E-02,4.1615E+00,1.9402E-01,3.5812E+02,2.1469E+00,1.7128E+01,2.3279E-01
161.3333333,164.2666667,1.6790E-02,4.0846E+00,1.9028E-01,3.5342E+02,2.1090E+00,1.6820E+01,2.2853E-01
164.2666667,167.2,1.6503E-02,4.0111E+00,1.8657E-01,3.4851E+02,2.0743E+00,1.6563E+01,2.2443E-01
167.2,170.1333333,1.6193E-02,3.9348E+00,1.8273E-01,3.4289E+02,2.0357E+00,1.6234E+01,2.1982E-01
170.1333333,173.0666667,1.5909E-02,3.8576E+00,1.7904E-01,3.3753E+02,1.9970E+00,1.5898E+01,2.1571E-01
173.0666667,176,1.5623E-02,3.7821E+00,1.7527E-01,3.3241E+02,1.9597E+00,1.5608E+01,2.1125E-01
176,178.9333333,1.5317E-02,3.7052E+00,1.7139E-01,3.2669E+02,1.9204E+00,1.5283E+01,2.0671E-01
178.9333333,181.8666667,1.5026E-02,3.6298E+00,1.6768E-01,3.2135E+02,1.8832E+00,1.4984E+01,2.0252E-01
181.8666667,184.8,1.4719E-02,3.5557E+00,1.6397E-01,3.1550E+02,1.8477E+00,1.4719E+01,1.9813E-01
184.8,187.7333333,1.4422E-02,3.4816E+00,1.6036E-01,3.0964E+02,1.8093E+00,1.4438E+01,1.9383E-01
187.7333333,190.6666667,1.4120E-02,3.4098E+00,1.5679E-01,3.0385E+02,1.7715E+00,1.4123E+01,1.8957E-01
190.6666667,193.6,1.3821E-02,3.3353E+00,1.5340E-01,2.9784E+02,1.7340E+00,1.3881E+01,1.8563E-01
193.6,196.5333333,1.3534E-02,3.2605E+00,1.5005E-01,2.9212E+02,1.6959E+00,1.3562E+01,1.8171E-01
196.5333333,199.4666667,1.3248E-02,3.1886E+00,1.4656E-01,2.8637E+02,1.6596E+00,1.3234E+01,1.7764E-01
199.4666667,202.4,1.2965E-02,3.1189E+00,1.4320E-01,2.8071E+02,1.6236E+00,1.2916E+01,1.7372E-01
202.4,205.3333333,1.2684E-02,3.0491E+00,1.3994E-01,2.7551E+02,1.5879E+00,1.2649E+01,1.6979E-01
205.3333333,208.2666667,1.2400E-02,2.9796E+00,1.3667E-01,2.6956E+02,1.5512E+00,1.2351E+01,1.6591E-01
208.2666667,211.2,1.2125E-02,2.9127E+00,1.3356E-01,2.6414E+02,1.5177E+00,1.2086E+01,1.6226E-01
211.2,214.1333333,1.1850E-02,2.8461E+00,1.3035E-01,2.5861E+02,1.4830E+00,1.1829E+01,1.5842E-01
214.1333333,217.0666667,1.1589E-02,2.7785E+00,1.2717E-01,2.5342E+02,1.4490E+00,1.1534E+01,1.5457E-01
217.0666667,220,1.1328E-02,2.7143E+00,1.2402E-01,2.4780E+02,1.4167E+00,1.1294E+01,1.5081E-01
220,222.9333333,1.1057E-02,2.6482E+00,1.2109E-01,2.4215E+02,1.3821E+00,1.1034E+01,1.4734E-01
222.9333333,225.8666667,1.0802E-02,2.5858E+00,1.1808E-01,2.3695E+02,1.3498E+00,1.0796E+01,1.4382E-01
225.8666667,228.8,1.0552E-02,2.5234E+00,1.1514E-01,2.3174E+02,1.3172E+00,1.0512E+01,1.4029E-01
228.8,231.7333333,1.0304E-02,2.4626E+00,1.1249E-01,2.2642E+02,1.2871E+00,1.0267E+01,1.3713E-01
231.7333333,234.6666667,1.0057E-02,2.4031E+00,1.0966E-01,2.2126E+02,1.2566E+00,1.0007E+01,1.3366E-01
234.6666667,237.6,9.8210E-03,2.3441E+00,1.0687E-01,2.1641E+02,1.2255E+00,9.7666E+00,1.3030E-01
237.6,240.5333333,9.5810E-03,2.2875E+00,1.0422E-01,2.1131E+02,1.1969E+00,9.5471E+00,1.2718E-01
240.5333333,243.4666667,9.3551E-03,2.2299E+00,1.0143E-01,2.0667E+02,1.1678E+00,9.3006E+00,1.2377E-01
243.4666667,246.4,9.1162E-03,2.1725E+00,9.8765E-02,2.0157E+02,1.1376E+00,9.0409E+00,1.2063E-01
246.4,249.3333333,8.8947E-03,2.1199E+00,9.6339E-02,1.9703E+02,1.1108E+00,8.8243E+00,1.1776E-01
249.3333333,252.2666667,8.6762E-03,2.0658E+00,9.4026E-02,1.9230E+02,1.0819E+00,8.5964E+00,1.1499E-01
252.2666667,255.2,8.4635E-03,2.0135E+00,9.1570E-02,1.8782E+02,1.0543E+00,8.3981E+00,1.1196E-01
255.2,258.1333333,8.2466E-03,1.9627E+00,8.9169E-02,1.8314E+02,1.0273E+00,8.2148E+00,1.0902E-01
258.1333333,261.0666667,8.0382E-03,1.9129E+00,8.6847E-02,1.7867E+02,1.0031E+00,7.9962E+00,1.0621E-01
