from,to,Gd-152,Gd-154,Gd-155,Gd-156,Gd-157,Gd-158,Gd-160
212.5,215,6.8087E+00,1.2139E+00,3.2423E+02,3.2327E-01,1.3292E+03,2.0269E-01,3.0525E-02
215,217.5,6.6899E+00,1.1906E+00,3.1894E+02,3.1674E-01,1.3075E+03,1.9843E-01,2.9898E-02
217.5,220,6.5656E+00,1.1674E+00,3.1319E+02,3.1030E-01,1.2840E+03,1.9432E-01,2.9282E-02
220,222.5,6.4450E+00,1.1448E+00,3.0778E+02,3.0344E-01,1.2619E+03,1.9020E-01,2.8679E-02
222.5,225,6.3229E+00,1.1225E+00,3.0217E+02,2.9705E-01,1.2389E+03,1.8634E-01,2.8071E-02
225,227.5,6.1975E+00,1.0998E+00,2.9626E+02,2.9096E-01,1.2148E+03,1.8257E-01,2.7490E-02
227.5,230,6.0754E+00,1.0776E+00,2.9042E+02,2.8509E-01,1.1908E+03,1.7885E-01,2.6907E-02
230,232.5,5.9611E+00,1.0560E+00,2.8524E+02,2.7888E-01,1.1695E+03,1.7485E-01,2.6331E-02
232.5,235,5.8469E+00,1.0346E+00,2.7994E+02,2.7302E-01,1.1478E+03,1.7110E-01,2.5782E-02
235,237.5,5.7301E+00,1.0138E+00,2.7449E+02,2.6709E-01,1.1255E+03,1.6755E-01,2.5241E-02
237.5,240,5.6171E+00,9.9313E-01,2.6923E+02,2.6117E-01,1.1040E+03,1.6405E-01,2.4689E-02
240,242.5,5.5016E+00,9.7266E-01,2.6384E+02,2.5594E-01,1.0819E+03,1.6065E-01,2.4164E-02
242.5,245,5.3910E+00,9.5261E-01,2.5870E+02,2.5036E-01,1.0608E+03,1.5719E-01,2.3645E-02
245,247.5,5.2859E+00,9.3331E-01,2.5391E+02,2.4469E-01,1.0412E+03,1.5387E-01,2.3142E-02
247.5,250,5.1773E+00,9.1344E-01,2.4881E+02,2.3932E-01,1.0203E+03,1.5040E-01,2.2632E-02
*,*,*,*,*,*,*,*,*
